Link,Tên,Giá,Số Km đã đi,Số chủ sở hữu,Hãng xe,Dòng xe,Năm sản xuất,Xuất xứ,Tình trạng,Tùy chọn,Hộp số,Nhiên liệu,Loại xe,Số chỗ ngồi,Hệ dẫn động,Loại động cơ,Công suất,Momen xoắn,Dung tích động cơ,Tiêu thụ nhiên liệu,Túi khí,Khoảng sáng gầm xe,Số cửa,Trọng lượng không tải,Trọng lượng toàn tải,Chính sách bảo hành,TBÚ,Đăng kiểm,Phụ kiện đi kèm
https://xe.chotot.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/116658447.htm#px=SR-stickyad-[PO-1][PL-top],Hyundai Sante Fe 2.2D 2016 Tặng Thuế Trước Bạ,665.000.000 đ,100000,--,Hyundai,Santa Fe,2016,Việt Nam,Đã sử dụng,2.2 AT 2WD,Tự động,Dầu,SUV / Cross over,7,2WD,--,202 Hp @ 3800 RPM,441 Nm @ 1750 - 2750 RPM,2.2,6.4,2,185,5,> 1 tấn,> 2 tấn,Bảo hành hãng,--,--,--
https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/116984350.htm#px=SR-stickyad-[PO-2][PL-top],Ford Ranger Wildtrack allnew sx 2023 siêu lướt,916.000.000 đ,8500,1 chủ,Ford,Ranger,2023,Việt Nam,Đã sử dụng,,Tự động,Dầu,Pick-up (bán tải),5,,,,,,,,,,> 1 tấn,> 2 tấn,Bảo hành hãng,--,Có,Có
https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/115244952.htm#px=SR-stickyad-[PO-3][PL-top],Mazda CX5 2.0 Premium 2023 Trả Trước Từ 315tr,775.000.000 đ,38000,--,Mazda,CX 5,2023,Việt Nam,Đã sử dụng,,Tự động,Xăng,SUV / Cross over,5,,,,,,,,,,> 1 tấn,> 2 tấn,Bảo hành hãng,--,--,--
https://xe.chotot.com/mua-ban-oto-thi-xa-tu-son-bac-ninh/116940824.htm#px=SR-stickyad-[PO-4][PL-top],For escape 2.3 2009 đen lăn bánh 14000000,235.000.000 đ,15000,1 chủ,Ford,Escape,2009,Việt Nam,Đã sử dụng,XLT 2.3 AT 4X4,Tự động,Xăng,SUV / Cross over,5,4WD,--,142 HP @6000 RPM,204 Nm @4000 RPM,2.3,--,--,200,5,> 1 tấn,> 2 tấn,Bảo hành hãng,--,--,Không
https://xe.chotot.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://xe.chotot.com/mua-ban-oto-quan-thanh-khe-da-nang/116525053.htm#px=SR-stickyad-[PO-1][PL-top],PEUGOUT 2008 GT LINE 2022 DK 2023,670.000.000 đ,14000,--,Peugeot,2008,2023,Việt Nam,Đã sử dụng,,Tự động,Xăng,SUV / Cross over,5,,,,,,,,,,> 1 tấn,> 2 tấn,Bảo hành hãng,--,Có,Có
https://xe.chotot.com/mua-ban-oto-quan-cam-le-da-nang/114948132.htm#px=SR-stickyad-[PO-2][PL-top],ô tô cũ số sàn or tự động,123.456.789 đ,56789,--,Kia,Dòng khác,1995,Đang cập nhật,Đã sử dụng,,Bán tự động,Xăng,--,--,,,,,,,,,,> 1 tấn,> 2 tấn,Bảo hành hãng,--,--,--
https://xe.chotot.com/mua-ban-oto-quan-cam-le-da-nang/117026009.htm#px=SR-stickyad-[PO-3][PL-top],Toyota Corolla Altis - Xe gia đình cán bộ đi làm,475.000.000 đ,61000,--,Toyota,Corolla Altis,2015,Việt Nam,Đã sử dụng,1.8G CVT,Tự động,Xăng,Sedan,5,FWD,--,138 HP @6400 RPM,173 Nm @4000 RPM,1.8,--,2,130,4,> 1 tấn,> 2 tấn,Bảo hành hãng,--,--,--
https://xe.chotot.com/mua-ban-oto-huyen-hoa-vang-da-nang/116466765.htm#px=SR-stickyad-[PO-4][PL-top],Mitsubishi Attrage CVT Premium 2021 odo 17.000KM,405.000.000 đ,17000,1 chủ,Mitsubishi,Attrage,2021,Nhật Bản,Đã sử dụng,1.2L CVT Premium,5,Xăng,Sedan,5,--,--,--,--,--,--,--,--,4,> 1 tấn,> 2 tấn,Bảo hành hãng,--,--,--
